clip_id,gloss,split,signer_id,video_id,source_url,raw_frame_count
help_27194_0,help,test,9,27194,https://www.youtube.com/watch?v=SiBub8VD5wo,47
no_38482_0,no,test,9,38482,https://www.youtube.com/watch?v=1_jXxjd0lKE,80
yes_64275_0,yes,test,9,64275,https://www.youtube.com/watch?v=BRO-oYGV224,70
water_62479_0,water,test,9,62479,https://www.youtube.com/watch?v=A5dihMAjeTE,53
water_70069_2,water,train,121,70069,https://www.youtube.com/watch?v=jDCw7stJaM4,104
friend_23567_0,friend,test,9,23567,https://www.youtube.com/watch?v=lWaQxL25Aew,60
friend_70342_2,friend,train,121,70342,https://www.youtube.com/watch?v=bq-HmgjGzmw,100
happy_70284_1,happy,train,121,70284,https://www.youtube.com/watch?v=CSj7IScvZnE,94
hello_27171_0,hello,val,9,27171,https://www.youtube.com/watch?v=SiBub8VD5wo,47
hello_70017_1,hello,train,121,70017,https://www.youtube.com/watch?v=25ymRY7hbjs,82
no_68110_2,no,val,109,68110,https://www.youtube.com/watch?v=BqmquW0f1ok,111
help_69364_1,help,val,115,69364,http://aslbricks.org/New/ASL-Videos/help.mp4,74
help_27206_5,help,train,36,27206,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/help.mp4,70
help_27207_6,help,train,4,27207,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Stamp%2C%20Help-2bSAr25HPXY.mp4,57
help_27208_7,help,train,21,27208,https://media.asldeafined.com/vocabulary/1468580671.3652.mp4,67
help_27209_8,help,test,17,27209,https://media.asldeafined.com/vocabulary/1471136062.8464.mp4,58
no_69411_1,no,val,118,69411,http://aslbricks.org/New/ASL-Videos/no.mp4,66
no_38539_4,no,train,47,38539,https://www.youtube.com/watch?v=nyUDOPmQlZQ,104
no_38540_5,no,train,5,38540,https://www.youtube.com/watch?v=pkzfT9cYvH0,93
no_38541_6,no,train,5,38541,https://www.youtube.com/watch?v=QJXKaOSyl4o,85
no_38525_9,no,test,36,38525,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/no.mp4,64
no_38527_12,no,train,3,38527,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20No-hwa_U71nr74.mp4,45
no_38529_15,no,train,13,38529,https://media.asldeafined.com/vocabulary/1468719269.5533.mp4,106
no_38530_16,no,train,15,38530,https://media.asldeafined.com/vocabulary/1522767129.7038.mp4,52
no_38524_21,no,train,56,38524,https://media.spreadthesign.com/video/mp4/13/48823.mp4,79
no_38538_27,no,train,5,38538,https://www.youtube.com/watch?v=mskmnqYYsGw,75
yes_69546_1,yes,val,118,69546,http://aslbricks.org/New/ASL-Videos/yes.mp4,71
yes_64287_2,yes,val,13,64287,https://media.asldeafined.com/vocabulary/1468774983.6377.mp4,67
yes_68192_3,yes,val,109,68192,https://www.youtube.com/watch?v=-on_5PoBEak,85
yes_64284_5,yes,train,3,64284,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Yes-Kg0VRsnehgQ.mp4,55
yes_64294_10,yes,train,5,64294,https://www.youtube.com/watch?v=0usayvOXzHo,59
yes_64295_11,yes,train,5,64295,https://www.youtube.com/watch?v=3J2KaRL9i_Q,59
yes_64296_12,yes,train,47,64296,https://www.youtube.com/watch?v=gpNDuOwyW7Q,119
yes_64297_14,yes,test,5,64297,https://www.youtube.com/watch?v=JLNxO35tB-U,46
yes_64280_15,yes,train,28,64280,https://media.spreadthesign.com/video/mp4/13/485639.mp4,62
yes_64281_19,yes,train,36,64281,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/yes.mp4,70
yes_64288_20,yes,train,15,64288,https://media.asldeafined.com/vocabulary/1522767427.6654.mp4,53
yes_64283_23,yes,train,4,64283,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Yes-IIWhF2S6saQ.mp4,21
water_68179_1,water,test,109,68179,https://www.youtube.com/watch?v=HHX-yrm-DMk,67
water_62507_7,water,train,5,62507,https://www.youtube.com/watch?v=QDlDLqvdApI,95
water_62508_8,water,val,5,62508,https://www.youtube.com/watch?v=-SdOfxGhb0A,80
water_62499_10,water,train,19,62499,https://elementalaslconcepts.weebly.com/uploads/2/4/4/5/24454483/water.mov,121
water_62500_14,water,train,28,62500,https://media.spreadthesign.com/video/mp4/13/486561.mp4,110
water_62501_15,water,val,36,62501,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/water.mp4,65
water_62502_16,water,train,52,62502,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Water-4xQijOap0PY.mp4,91
