sweep,config,splits,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_seeds
landmark_subset,hands_only,stratified,0.526,0.0232,0.4909,0.0272,10
landmark_subset,arms_only,stratified,0.2596,0.0352,0.2373,0.0375,10
landmark_subset,hands+arms,stratified,0.5115,0.0257,0.4686,0.0279,10
feature_group,mean,stratified,0.5548,0.0232,0.5218,0.0165,10
feature_group,std,stratified,0.4615,0.0251,0.4251,0.0282,10
feature_group,range,stratified,0.3981,0.0255,0.352,0.0256,10
feature_group,velocity,stratified,0.3115,0.0173,0.2744,0.0194,10
feature_group,all,stratified,0.5115,0.0257,0.4686,0.0279,10
temporal_resolution,30_frames,stratified,0.5115,0.0257,0.4686,0.0279,10
temporal_resolution,15_frames,stratified,0.5288,0.0265,0.4839,0.0265,10
temporal_resolution,10_frames,stratified,0.475,0.0232,0.4489,0.0215,10
augmentation_rf,none,stratified,0.5115,0.0257,0.4686,0.0279,10
augmentation_rf,mirror,stratified,0.4885,0.0239,0.4546,0.025,10
augmentation_rf,noise,stratified,0.5423,0.0207,0.5039,0.0257,10
augmentation_rf,mirror+noise,stratified,0.526,0.0265,0.4984,0.0292,10
augmentation_gru,none,stratified,0.4058,0.03,0.3692,0.0252,10
augmentation_gru,mirror,stratified,0.3635,0.0444,0.3508,0.033,10
augmentation_gru,noise,stratified,0.4567,0.0289,0.4503,0.0289,10
augmentation_gru,mirror+noise,stratified,0.4298,0.0439,0.4219,0.0445,10
sampling,stratified_random,stratified,0.5115,0.0257,0.4686,0.0279,10
sampling,subject_independent,grouped_by_signer,0.3846,0.0,0.3603,0.0,1
smoothing,raw,stratified,0.5279,0.0163,0.5035,0.0161,10
smoothing,smoothed,stratified,0.5865,0.0272,0.5587,0.0292,10
smoothing,smoothed_noaug,stratified,0.5962,0.0251,0.5619,0.0264,10
smoothing,smoothed_noise,stratified,0.5933,0.0272,0.5639,0.0298,10
smoothing,smoothed_gru,stratified,0.3692,0.0375,0.3591,0.032,10
features,v1_absolute,stratified,0.5962,0.0251,0.5619,0.0264,10
features,v1_canonical,stratified,0.6087,0.0167,0.578,0.0171,10
features,v2_normalized,stratified,0.7433,0.024,0.6988,0.0315,10
features,v2_canonical,stratified,0.7519,0.0271,0.7229,0.0285,10
model_family,rf,stratified,0.5115,0.0257,0.4686,0.0279,10
model_family,svm,stratified,0.2346,0.0207,0.1951,0.0215,10
model_family,gru,stratified,0.4058,0.03,0.3692,0.0252,10
model_family,lstm,stratified,0.2856,0.0382,0.2301,0.0421,10
model_family,stgcn,stratified,0.5875,0.0329,0.5738,0.0349,10
stgcn_preprocessing,stgcn_raw,stratified,0.5875,0.0329,0.5738,0.0349,10
stgcn_preprocessing,stgcn_smoothed,stratified,0.5981,0.0318,0.591,0.0288,10
stgcn_preprocessing,stgcn_smooth+canon,stratified,0.6058,0.036,0.6011,0.0276,10
