sweep,config,splits,accuracy,macro_f1
landmark_subset,hands_only,stratified,0.4493,0.4489
landmark_subset,arms_only,stratified,0.1014,0.0999
landmark_subset,hands+arms,stratified,0.3913,0.3873
feature_group,mean,stratified,0.4638,0.4515
feature_group,std,stratified,0.4493,0.4301
feature_group,range,stratified,0.3768,0.3615
feature_group,velocity,stratified,0.2464,0.2428
feature_group,all,stratified,0.3913,0.3873
temporal_resolution,30_frames,stratified,0.3913,0.3873
temporal_resolution,15_frames,stratified,0.4493,0.4347
temporal_resolution,10_frames,stratified,0.4058,0.4019
augmentation_rf,none,stratified,0.3913,0.3873
augmentation_rf,mirror,stratified,0.4783,0.4816
augmentation_rf,noise,stratified,0.4638,0.4755
augmentation_rf,mirror+noise,stratified,0.4493,0.4678
augmentation_gru,none,stratified,0.2609,0.2492
augmentation_gru,mirror,stratified,0.3333,0.3416
augmentation_gru,noise,stratified,0.3188,0.303
augmentation_gru,mirror+noise,stratified,0.2754,0.269
sampling,stratified_random,stratified,0.3913,0.3873
sampling,subject_independent,grouped_by_signer,0.4493,0.4244
